time,rad2,rad3
389,0.003094722,0.12290114
390,0.003095047,0.122914075
391,0.004788664,0.120557807
392,0.004789168,0.120570495
393,0.00468473,0.12015151
394,0.004685223,0.120164155
395,0.003944093,0.118843423
396,0.003944508,0.118855931
397,0.004104428,0.114731352
398,0.00410486,0.114743427
399,0.003999768,0.113569654
400,0.004000189,0.113581607
401,0.003363986,0.113000511
402,0.003364695,0.113024298
403,0.003205842,0.111701411
404,0.00320618,0.111713167
405,0.004480435,0.108906457
406,0.004480907,0.108917919
407,0.003791034,0.108347297
408,0.003791433,0.108358701
409,0.004269803,0.10688592
410,0.004270253,0.10689717
411,0.004165023,0.105127023
412,0.0041659,0.105149153
413,0.003634756,0.102190287
414,0.003635139,0.102201042
415,0.003688945,0.101925469
416,0.003689333,0.101936197
417,0.003583618,0.099866878
418,0.003583995,0.099877389
419,0.003850359,0.098253234
420,0.003851169,0.098273917
421,0.004489876,0.098135607
422,0.004490348,0.098145935
423,0.005493837,0.096223369
424,0.005494415,0.096233497
425,0.004119141,0.093874055
426,0.004119574,0.093883935
427,0.003854413,0.093150003
428,0.003854819,0.093159807
429,0.002844744,0.090193735
430,0.002845343,0.090212721
431,0.003856442,0.089775693
432,0.003856848,0.089785142
433,0.00343098,0.088603614
434,0.003431702,0.088622265
435,0.003432063,0.086844563
436,0.003432425,0.086853703
437,0.004764793,0.087011794
438,0.004765294,0.087020952
439,0.004978435,0.08644328
440,0.004978959,0.086452378
441,0.002155435,0.08050032
442,0.002155662,0.080508792
443,0.003968659,0.083060032
444,0.004821534,0.082919682
445,0.004822041,0.082928409
446,0.003755911,0.080103799
447,0.003756306,0.080112229
448,0.00349128,0.078339052
449,0.003491648,0.078347297
450,0.004025952,0.077907938
451,0.004026376,0.077916137
452,0.003867009,0.077932539
453,0.003867416,0.077940741
454,0.00440086,0.076008303
455,0.004401323,0.076016303
456,0.003760657,0.073038073
457,0.003761449,0.073053448
458,0.004403176,0.072164985
459,0.003762241,0.069931965
460,0.003762637,0.069939325
461,0.003977859,0.071448263
462,0.003978277,0.071455782
463,0.003872303,0.069669867
464,0.00387271,0.0696772
465,0.004085949,0.069086595
466,0.004086809,0.069101138
467,0.003820272,0.067912158
468,0.003820674,0.067919305
469,0.004035709,0.066729948
470,0.004036558,0.066743995
471,0.003928788,0.065404527
472,0.003929201,0.06541141
473,0.004250888,0.064520444
474,0.004251336,0.064527234
475,0.003824294,0.063792372
476,0.003824697,0.063799086
477,0.003664716,0.062757756
478,0.003665102,0.062764361
479,0.00398666,0.062321711
480,0.003987499,0.06233483
481,0.003613156,0.061742193
482,0.003613536,0.061748691
483,0.004310438,0.061455528
484,0.004310891,0.061461996
485,0.004472689,0.060875421
486,0.00447316,0.060881828
487,0.003884139,0.059539047
488,0.003884548,0.059545313
489,0.004368292,0.059557848
490,0.004368751,0.059564116
491,0.004047193,0.059120419
492,0.004047619,0.059126641
493,0.003349626,0.057632661
494,0.003350331,0.057644793
495,0.004532605,0.058701334
496,0.004533082,0.058707512
497,0.003834773,0.051208728
498,0.003835177,0.051214117
499,0.002977495,0.045519325
500,0.002977808,0.045524116
501,0.004159217,0.044327481
502,0.004159654,0.044332146
503,0.002334008,0.043139673
504,0.002334254,0.043144213
505,0.003247953,0.044050298
506,0.003248294,0.044054934
507,0.004107939,0.044811015
508,0.004108803,0.044820448
509,0.003464725,0.04422382
510,0.00346509,0.044228474
511,0.00384164,0.044082761
512,0.003842044,0.044087401
513,0.003681726,0.042742942
514,0.003682113,0.04274744
515,0.003950763,0.042451045
516,0.003951179,0.042455513
517,0.003575659,0.041406629
518,0.003576412,0.041415345
519,0.004007271,0.042322862
520,0.004007693,0.042327317
521,0.005085017,0.042331772
522,0.005086087,0.042340683
523,0.004116594,0.0412909
524,0.004117027,0.041295245
525,0.004818752,0.041148954
526,0.004819259,0.041153285
527,0.004011491,0.039956469
528,0.004011913,0.039960674
529,0.003365173,0.038759147
530,0.003365527,0.038763227
531,0.003796846,0.038918055
532,0.003797645,0.038926247
533,0.003529331,0.037874773
534,0.003529703,0.037878759
535,0.003691814,0.037882745
536,0.003692202,0.037886732
537,0.003639106,0.037140331
538,0.003639489,0.03714424
539,0.003639872,0.035940893
540,0.003640255,0.035944676
541,0.003586966,0.035650333
542,0.003587344,0.035654085
543,0.004289085,0.034902905
544,0.004289537,0.034906578
545,0.004883839,0.035363307
546,0.004884867,0.035370751
547,0.004723215,0.033863814
548,0.004723712,0.033867378
549,0.003752377,0.033568747
550,0.003752772,0.03357228
551,0.003861502,0.033125911
552,0.003861908,0.033129397
553,0.003592255,0.033737593
554,0.003592633,0.033741144
555,0.004080552,0.033899472
556,0.004080982,0.03390304
557,0.004134395,0.030276443
558,0.00413483,0.03027963
559,0.003972861,0.029677662
560,0.003973697,0.029683909
561,0.003811659,0.029535697
562,0.003812061,0.029538805
563,0.003650998,0.028785073
564,0.003651382,0.028788102
565,0.003976207,0.028794162
566,0.003976626,0.028797193
567,0.003977044,0.028042984
568,0.003977463,0.028045935
569,0.003708168,0.028051839
570,0.003708558,0.028054791
571,0.003926059,0.027148578
